day,count_people,count_rock,count_paper,count_scissors
0,500000,0.333334,0.333334,0.333332
1,666795,0.33247399875523964,0.33419866675664933,0.333327334488111
2,888876,0.33363371268883396,0.33340195932841027,0.33296432798275577
3,1184542,0.33350442618328435,0.33330941410266585,0.3331861597140498
4,1578736,0.33296193917159045,0.33383415593234084,0.33320390489606877
5,2104365,0.33293796465917275,0.3343017965039335,0.33276023883689376
6,2805600,0.33201739378386086,0.33411427145708583,0.3338683347590533
7,3740035,0.3322375325364602,0.33308110752974235,0.3346813599337974
8,4986695,0.3331077998554153,0.3327392190619238,0.33415298108266095
9,6649993,0.33332110274401794,0.3327188464709662,0.33396005078501584
10,6666311,0.3335549451563241,0.3325827432893545,0.33386231155432144
11,6668106,0.3335245420513711,0.3330603922613108,0.3334150656873181
12,6665544,0.33362873307865043,0.3331180470791281,0.33325321984222145
13,6666391,0.333837604184933,0.333054721812747,0.33310767400232
14,6666114,0.3335852042134293,0.33318152074807,0.3332332750385007
15,6667289,0.3336116073564533,0.33319989578972803,0.3331884968538187
16,6667381,0.33370119391707176,0.33314415360394134,0.3331546524789869
17,6666211,0.3336736565944282,0.33323577666533505,0.3330905667402367
18,6665505,0.33351801551420335,0.3335846271212759,0.33289735736452075
19,6666181,0.3337900666063523,0.3334592925094593,0.33275064088418843
20,6665842,0.3335745131672788,0.3335334080825798,0.3328920787501414
21,6666481,0.33312732759607355,0.33372854433995985,0.3331441280639666
22,6667065,0.3331222959428174,0.33370366120624295,0.33317404285093966
23,6666925,0.3331225415015168,0.33306704365205847,0.3338104148464247
24,6666774,0.3334342817080645,0.3328696907979782,0.3336960274939573
25,6665854,0.3337179302156933,0.3330754018914906,0.3332066678928161
26,6667992,0.3336919120478849,0.3334855530720493,0.33282253488006586
27,6667483,0.33345026901455915,0.3336491446622361,0.33290058632320474
28,6666660,0.333042183042183,0.3335575835575836,0.3334002334002334
29,6666203,0.33347199297711155,0.33326932888182376,0.3332586781410647
30,6667051,0.33363326604221266,0.3333439327222786,0.33302280123550876
31,6665101,0.33324056154587905,0.3339293733133226,0.3328300651407983
32,6667125,0.33269947691096236,0.3340360350225922,0.33326448806644543
33,6667596,0.3329514865627731,0.3337481755043347,0.33330033793289215
34,6667003,0.33316514181859525,0.3332492875734419,0.33358557060796284
35,6667663,0.33336492861141903,0.33275242015080847,0.3338826512377725
36,6667899,0.33333588286205296,0.3331065752495651,0.33355754188838194
37,6666230,0.3332730793866998,0.33314842122159,0.33357849939171014
38,6666022,0.3337672752955211,0.33275692759489844,0.3334757971095805
39,6667026,0.3340031972276694,0.3326586696977033,0.3333381330746273
40,6666855,0.3341326607523337,0.3331609882020833,0.33270635104558294
41,6667738,0.33383570260259177,0.33391608968438774,0.3322482077130205
42,6667028,0.33344242742043384,0.3336834643562319,0.3328741082233343
43,6666869,0.33328568477946696,0.33347752895699617,0.3332367862635369
44,6666408,0.33309707416647766,0.3336915472320326,0.33321137860148975
45,6667890,0.33295360301384697,0.3332189043310553,0.3338274926550978
46,6665669,0.33337688985156627,0.3331818606654486,0.33344124948298515
47,6667648,0.3335633494749573,0.3332353477568102,0.3332013027682325
48,6667110,0.3335896662871919,0.33343457660065606,0.33297575711215205
49,6666152,0.33338318718205046,0.3335776021908891,0.33303921062706043
50,6665641,0.3333917923272495,0.33356341873197193,0.33304478894077855
51,6667421,0.33281834160464746,0.33386552311605944,0.33331613527929316
52,6666368,0.3328325108964882,0.33350964123192717,0.33365784787158465
53,6666696,0.33259608657721906,0.3335434824086774,0.33386043101410356
54,6667141,0.333190043528403,0.3329871079672681,0.3338228485043289
55,6666762,0.3333552330201678,0.33288648972319695,0.3337582772566352
56,6665956,0.33369947236375397,0.3328524820745892,0.33344804556165686
57,6666928,0.333961758699059,0.33302429544761847,0.33301394585332256
58,6665762,0.33381314844424387,0.3332310694561252,0.3329557820996309
59,6666332,0.3334319382833018,0.3337112523048657,0.3328568094118325
60,6667792,0.3330469816694942,0.3338455968632495,0.3331074214672563
61,6664608,0.3327865644911149,0.3334988344400751,0.33371460106881007
62,6666436,0.333144276791977,0.3328952681762789,0.3339604550317441
63,6667075,0.33374800793451403,0.3326089777001159,0.33364301436537014
64,6666400,0.33409096363854557,0.33276191047641906,0.3331471258850354
65,6668285,0.3342171187944127,0.3334061156654222,0.3323767655401651
66,6666740,0.3333908327008403,0.33410122488652627,0.3325079424126335
67,6665690,0.3335681677365734,0.3339928799569137,0.3324389523065129
68,6667226,0.33299321186952413,0.33414181550167943,0.33286497262879644
69,6665027,0.3328429127143821,0.3340792167833679,0.33307787050225
70,6666675,0.33269388413264483,0.3338383827020216,0.33346773316533357
71,6666414,0.332852715117903,0.33348108893327055,0.33366619594882646
72,6667200,0.3333130849532037,0.33265238780897527,0.33403452723782096
73,6667473,0.33359595156965766,0.33262796864719213,0.3337760797831502
74,6666286,0.3336435010439096,0.33300191440931276,0.33335458454677763
75,6667115,0.33382085054780064,0.3332148912985602,0.33296425815363917
76,6667576,0.33348971200328276,0.33341322243645966,0.3330970655602576
77,6666145,0.33384362326352035,0.3335035466525256,0.3326528300839541
78,6667452,0.3335010135806002,0.33397750744962246,0.33252147896977735
79,6666917,0.3329900462237643,0.33433054588800193,0.3326794078882338
80,6666621,0.3323922268867542,0.3341230887431579,0.33348468437008794
81,6667669,0.3323678784894691,0.333573397239725,0.3340587242708059
82,6665970,0.33276012343289874,0.3332413737235541,0.33399850284354715
83,6666441,0.33316877776312726,0.33238005106472857,0.3344511711721442
84,6667402,0.33411739685112735,0.3323760889173924,0.33350651423148026
